herb_1,herb_2,cooccurrence_count
人参,甘草,58
甘草,生姜,48
大枣,甘草,47
大枣,生姜,46
桂枝,甘草,44
当归,甘草,42
甘草,白术,40
半夏,甘草,39
甘草,茯苓,38
甘草,芍药,36
川芎,甘草,31
桂枝,生姜,30
甘草,麻黄,29
甘草,黄芩,29
大枣,桂枝,28
干姜,甘草,27
人参,半夏,26
甘草,陈皮,25
人参,白术,25
甘草,附子,24
生姜,芍药,23
甘草,苦杏仁,22
桂枝,芍药,22
甘草,防风,22
人参,茯苓,22
川芎,当归,22
白术,茯苓,22
大枣,芍药,21
半夏,生姜,20
人参,干姜,20
人参,当归,20
甘草,石膏,19
人参,大枣,18
甘草,白芍,18
柴胡,甘草,18
半夏,大枣,17
厚朴,甘草,17
甘草,黄连,17
甘草,肉桂,16
人参,生姜,16
半夏,茯苓,16
苦杏仁,麻黄,15
半夏,陈皮,15
干姜,附子,15
黄芩,黄连,15
川芎,防风,14
半夏,黄芩,14
桔梗,甘草,14
人参,川芎,14
茯苓,陈皮,14
甘草,黄芪,14
当归,白术,14
甘草,羌活,13
甘草,知母,13
芍药,黄芩,13
川芎,茯苓,13
人参,陈皮,13
白术,陈皮,13
人参,麦冬,13
生姜,麻黄,12
人参,桂枝,12
大黄,甘草,12
川芎,羌活,12
半夏,干姜,12
柴胡,黄芩,12
大黄,芒硝,12
甘草,麦冬,12
当归,白芍,12
当归,芍药,12
桂枝,麻黄,11
甘草,生地,11
甘草,白芷,11
甘草,苍术,11
羌活,防风,11
人参,白芍,11
人参,黄芩,11
生姜,黄芩,11
生姜,茯苓,11
人参,附子,11
半夏,厚朴,11
当归,茯苓,11
泽泻,白术,11
人参,黄连,11
大枣,麻黄,10
白术,附子,10
肉桂,附子,10
石膏,麻黄,10
甘草,细辛,10
人参,柴胡,10
半夏,柴胡,10
甘草,薄荷,10
厚朴,枳实,10
大黄,黄芩,10
栀子,甘草,10
当归,防风,10
熟地,甘草,10
芍药,麻黄,9
半夏,桂枝,9
半夏,麻黄,9
生姜,附子,9
